Tiempo,Temperatura,Humedad,Masa
47.93,18,59,-0.68
48.03,18,59,-0.49
48.13,18,59,-0.7
48.24,18,59,-0.52
48.34,18,59,-0.6
48.44,18,59,-0.52
48.54,18,59,-0.61
48.65,18,59,-0.58
48.75,18,59,-0.53
48.85,18,59,-0.7
48.95,18,59,-0.82
49.05,18,59,-0.71
49.16,18,59,-0.91
49.26,18,59,-0.85
49.36,18,59,-0.79
49.46,18,59,-0.86
49.57,18,59,-0.67
49.67,18,59,-0.37
49.79,18,59,-0.52
49.9,18,59,-0.5
50,18,59,-0.42
50.1,18,59,-0.85
50.2,18,59,-0.47
50.31,18,59,-0.21
50.41,18,59,-0.23
50.51,18,59,-0.58
50.61,18,59,-0.59
50.72,18,59,-0.7
50.82,18,59,-0.48
50.92,18,59,-0.66
51.02,18,59,-0.69
51.12,18,59,-0.39
51.23,18,59,-0.4
51.33,18,59,-0.74
51.43,18,59,-0.71
51.53,18,59,-0.58
51.64,18,59,-0.71
51.74,18,59,-0.59
51.86,18,59,-0.65
51.97,18,59,-0.55
52.07,18,59,-0.57
52.17,18,59,-0.38
52.27,18,59,-0.51
52.38,18,59,-0.63
52.48,18,59,-0.78
52.58,18,59,-0.73
52.68,18,59,-0.91
52.79,18,59,-0.73
52.89,18,59,-0.78
52.99,18,59,-0.82
53.09,18,59,-0.57
53.19,18,59,-0.58
53.3,18,59,-0.66
53.4,18,59,-0.43
53.5,18,59,-0.84
53.6,18,59,-0.95
53.71,18,59,-0.7
53.81,18,59,-0.56
53.93,18,59,-0.3
54.04,18,59,-0.57
54.14,18,59,-0.66
54.24,18,59,-0.49
54.34,18,59,-0.52
54.44,18,59,-0.54
54.55,18,59,-0.75
54.65,18,59,-0.67
54.75,18,59,-0.27
54.85,18,59,-0.57
54.96,18,59,-0.5
55.06,18,59,-0.59
55.16,18,59,-0.58
55.26,18,59,-0.77
55.37,18,59,-0.75
55.47,18,59,-0.53
55.57,18,59,-0.58
55.67,18,59,-0.75
55.78,18,59,-0.64
55.88,18,59,-0.45
56,18,59,-0.58
56.1,18,59,-0.7
56.21,18,59,-0.7
56.31,18,59,-0.69
56.41,18,59,-0.75
56.51,18,59,-0.82
56.62,18,59,-0.75
56.72,18,59,-0.69
56.82,18,59,-0.78
56.92,18,59,-0.63
57.03,18,59,-0.76
57.13,18,59,-0.74
57.23,18,59,-0.34
57.33,18,59,-0.38
57.44,18,59,-0.55
57.54,18,59,-0.51
57.64,18,59,-0.78
57.74,18,59,-0.82
57.84,18,59,-0.86
57.95,18,59,-0.79
58.07,18,59,-0.79
58.17,18,59,-0.62
58.28,18,59,-0.53
58.38,18,59,-0.66
58.48,18,59,-0.81
58.58,18,59,-0.79
58.69,18,59,-0.8
58.79,18,59,-0.77
58.89,18,59,-0.5
58.99,18,59,-0.41
59.1,18,59,-0.56
59.2,18,59,-0.55
59.3,18,59,-0.57
59.4,18,59,-0.41
59.5,18,59,-0.65
59.61,18,59,-0.75
59.71,18,59,-0.64
59.81,18,59,-0.28
59.91,18,59,-0.4
60.02,18,59,-0.74
60.14,18,59,-0.58
60.24,18,59,-0.4
60.35,18,59,-0.22
60.45,18,59,-0.42
60.55,18,59,-0.55
60.65,18,59,-0.47
60.76,18,59,-0.45
60.86,18,59,-0.59
60.96,18,59,-0.63
61.06,18,59,-0.5
61.17,18,59,-0.55
61.27,18,59,-0.46
61.37,18,59,-0.31
61.47,18,59,-0.49
61.57,18,59,-0.5
61.68,18,59,-0.36
